qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12
20176,cross stitch,0.0576,1,tagmee.topn3,0.0578,cross stitch Cross stitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20179,mercier press,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180,stuffed bell peppers,0.0996,1,tagmee.topn3,0.11,stuffed bell peppers Stuffed peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181,mid america science museum,0.2186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20185,welch corgi,0.0086,3,rm3.topn10.10.0.5.bm25,0.0726,welsh cardigan tri harri pembrok puppi welch pine corgi dog,sensedisambiguation.replace,0.0432,welsh corgi,tagmee.topn3,0.0146,welch corgi Wales Corgi Toys,,,,,,,,,,,,,,,,,,,,,,,,,,,
20186,depression symtoms,0.0318,1,tagmee.topn3,0.0362,depression symtoms Depression  mood  Symptom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20188,what causes itchy feet,0.0938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20189,private process server,0.0074,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190,greg hewett,0.0283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20192,clox test,0.0193,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20198,tyler texas weather,0.0763,1,tagmee.topn3,0.1186,tyler texas weather Tyler  Texas Meteorology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200,vanderbilt burn center,0.5691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203,charles basil,0.0476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206,cyberonics,0.1316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20207,michael olesker,0.1233,4,glove.topn3,0.3347,michael olesker moore miller gahsh kd,rm3.topn10.10.0.5.bm25,0.1986,baltimor howard michael ago olesk lynch oleski oleson colt kevin,word2vec.topn3.replace,0.1691,micheal jacksons steven olesker,tagmee.topn3,0.1235,michael olesker Michael Olesker,,,,,,,,,,,,,,,,,,,,,,,,
20208,coronation street update,0.0285,2,rm3.topn10.10.0.5.bm25,0.1048,coron cadburi war uk chocol calendar merchandis corri offici updat street,tagmee.topn3,0.03,coronation street update Coronation Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20209,arm wrestling,0.0968,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211,usa today,0.0202,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20213,calverton national cemetary,0.1239,2,word2vec.topn3.replace,0.2026,calverton regional international local cemetry cemetery,tagmee.topn3,0.1412,calverton national cemetary Calverton  New York Cemetary  band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20215,report medicare fraud,0.1655,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20216,glenns ferry,0.325,3,rm3.topn10.10.0.5.bm25,0.5833,glenn mi counti sq ferri river popul household elmor idaho,glove.topn3,0.4167,glenns ferry peesk bluhnt boat,tagmee.topn3,0.4167,glenns ferry Glenns Ferry  Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,
20219,hardees,0.1609,1,rm3.topn10.10.0.5.bm25,0.2168,harde burger      thickburg carl jr chain menu restaur cke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221,premedication for dental procedures,0.125,4,glove.topn3,1.0,premedication dental procedures dentists dentistry required,sensedisambiguation.replace,1.0,premedication for dental routine,glove.topn3.replace,0.25,premedication dentists dentistry required,tagmee.topn3,0.1667,premedication dental procedures Premedication Dentistry Surgery,,,,,,,,,,,,,,,,,,,,,,,,
20225,workforce of utah,0.0563,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20227,tetanus shot,0.4798,1,tagmee.topn3,0.4898,tetanus shot Tetanus vaccine Tetanus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20229,christmas stocking stuffers,0.038,1,glove.topn3,0.055,christmas stocking stuffers holiday eve k      stocking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230,brooklyn va medical center,0.0909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232,variocose veins,0.1432,2,glove.topn3,0.3347,variocose veins varicose,glove.topn3.replace,0.3019,variocose varicose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20237,lomustine,0.5629,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20239,nh wine,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20244,colonel henry knox,0.2785,2,tagmee.topn3,0.3141,colonel henry knox Colonel  United States  Henry Knox,rm3.topn10.10.0.5.bm25,0.2813,boston washington war knox henri armi artilleri hamilton men colonel sir street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20245,iud birth control,0.2591,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20247,red in stool,0.0457,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20249,sharpening twist drills,0.3399,1,tagmee.topn3,0.412,sharpening twist drills Sharpening Drill bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250,benedryl for dog,0.2446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251,swahili dishes,0.4132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20254,commonwealth state,0.225,1,rm3.topn10.10.0.5.bm25,0.2918,feder australia state republ common british commonwealth polit king shall offici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20255,unearned income tax table,0.5571,1,tagmee.topn3,0.5587,unearned income tax table Unearned income Income tax in the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20257,us posmaster,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260,ziune,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20266,the food pyrimid,0.0056,2,glove.topn3.replace,0.0476,supplies pyrimid,glove.topn3,0.0189,food pyrimid supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20271,tax questions,0.107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20272,buddishim,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20273,bain de soleil,0.2894,1,rm3.topn10.10.0.5.bm25,0.4606,spf escal font chais sunscreen de tan bain soleil sunblock jardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20275,dune buggy insurance,0.012,1,glove.topn3,0.3333,dune buggy insurance pyoot em   premiums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20277,ribble cycles,0.0486,1,tagmee.topn3,0.1132,ribble cycles River Ribble Bicycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20278,aircanada,0.0625,1,tagmee.topn3,0.5022,aircanada Air Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20280,foursomes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20283,flags,0.0223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20286,early pregnancy tests,0.0307,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20288,3rd grade books,0.3904,1,rm3.topn10.10.0.5.bm25,0.4053,grade ada  th  th alma flor spanish programm  rd book approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20290,karger publishing,0.5604,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20298,commercial liability insurance,0.0258,2,rm3.topn10.10.0.5.bm25,0.0368,broker coverag sme properti liabil contractor commerci law insur claim,sensedisambiguation.replace,0.0285,commercial liability policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20300,gold eagle,0.051,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20308,phd degrees in social work,0.0638,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20310,virginia aquarium,0.1885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20312,wichita white pages,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20313,weather in nyc,0.0603,1,tagmee.topn3,0.1286,weather nyc New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20319,west oaklane charter school,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20323,what is a home equity line,0.0429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20327,pitahaya,0.3583,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20328,flight simulators,0.0475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20330,irving berlin,0.1974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20332,gbi crime lab,0.484,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20338,munster steel,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20339,houston community college,0.6035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20340,world political map,0.3716,1,tagmee.topn3,0.4776,world political map World Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20343,windows media player 9,0.0844,9,thesaurus.topn3,0.2339,windows media player,tagmee.topn3,0.2339,windows media player   Windows Media Player Windows Media Player,stem.krovetz,0.2339,window media player,stem.porter,0.2339,window media player,stem.porter2,0.2339,window media player,stem.sstemmer,0.2339,window media player,relevancefeedback.topn10.bm25,0.2339,windows media player,docluster.topn10.3.bm25,0.2339,windows media player,termluster.topn5.3.bm25,0.2339,windows media player,,,,,,,,,
20344,football plays,0.0384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20347,stride rite,0.1919,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20352,hopi food,0.3345,1,tagmee.topn3,0.3346,hopi food Hopi Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20353,weather seattle,0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20357,hobcaw barony,0.4287,2,rm3.topn10.10.0.5.bm25,0.475,landgrav cassiqu hobcaw turkei count baruch plantat sc baroni carolina,tagmee.topn3,0.429,hobcaw barony Hobcaw Barony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20358,midlands bible college,0.2068,2,rm3.topn10.10.0.5.bm25,0.3744,colleg dr midland evangel theologi king religion interview divin bibl,tagmee.topn3,0.3167,midlands bible college King s Evangelical Divinity School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20359,05 mitsubishi eclipse,0.1847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20362,peacecorp,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363,ri vineyards,0.3088,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20364,fiberglass cupola,0.8395,1,tagmee.topn3,0.8426,fiberglass cupola Fiberglass Cupola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20365,canton ct,0.0013,2,tagmee.topn3,0.0109,canton ct Canton  Connecticut,rm3.topn10.10.0.5.bm25,0.0097,ct flower hotel mi hartford     connecticut     canton bakeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20366,nye county school district,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20368,aluminium extrusion,0.0165,1,tagmee.topn3,0.0176,aluminium extrusion Aluminium Extrusion Extrusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20371,third quarter moon,0.4377,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20375,state of mississippi,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20378,honsodor hawaii,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20379,kidney disease,0.1697,1,tagmee.topn3,0.1698,kidney disease Kidney disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20380,eastlake community center,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20384,dating violence,0.2535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20387,archaeology,0.0211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20388,3m,0.0142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20389,dictonaries,0.2075,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20390,herald mail,0.0909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20392,relenza,0.7542,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20393,blink reflex,0.3962,1,tagmee.topn3,0.4057,blink reflex Corneal reflex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20395,amtrak emeryville,0.7034,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20396,acrobat reader 7,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20398,variable number tandem repeat,0.5191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20399,how to get around surf control,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405,347 ford engines,0.1129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20409,newspapers,0.0085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20411,black hole pictures,0.1983,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20412,hospital anxiety and depression scale,0.2733,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20416,companies that hire secret shoppers,0.5429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20419,how to get a divorce,0.0219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20420,ibew,0.2189,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20422,greek husbands,0.0714,1,tagmee.topn3,0.1667,greek husbands Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20424,growing tomatoes,0.0526,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425,888 numbers,0.4196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20426,arthur vasquez,0.0256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20429,acutron,0.1288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20431,oaklandtribune,0.0139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20432,add,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20434,dmv san francisco,0.0145,3,rm3.topn10.10.0.5.bm25,0.0294,san traffic francisco dmv counti dui drive law defens california,stem.trunc4,0.0196,dmv san fran,stem.trunc5,0.0169,dmv san franc,,,,,,,,,,,,,,,,,,,,,,,,,,,
20435,burrito recipes,0.0691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20437,smug mug photography,0.2982,2,stem.trunc5,0.4343,smug mug photo,tagmee.topn3,0.3353,smug mug photography SmugMug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20440,hotels near downtown houston,0.245,1,rm3.topn10.10.0.5.bm25,0.2594,tx room galleria hotel houston suit downtown usd inn near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20445,circumferance,0.2515,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20448,council bluffs,0.0521,1,tagmee.topn3,0.1209,council bluffs Council Bluffs  Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20451,marilyn bohn,0.728,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20455,fraxel laser,0.169,1,tagmee.topn3,0.1762,fraxel laser Fraxel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20457,modern maid wall oven,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20459,washington post sudoku,0.168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20460,troy built dealers,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20463,the weather,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20464,crab dip appetizer,0.0174,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20467,sanctuary lyrics,0.0918,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20468,san diego parking,0.0012,1,glove.topn3,0.0015,san diego parking francisco diego san francisco garage garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20470,tetanus vaccine,0.2243,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20472,ambra jones,0.0023,1,word2vec.topn3.replace,0.0069,ambra bridget james stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20480,randy miller,0.0685,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20481,calvert cliffs maryland,0.0997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20482,girls getting it on,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20484,lake maps,0.0102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20485,german pens,0.5155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20486,frying pan tower,0.8349,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20488,american express travel,0.1832,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20490,prc,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20493,how to gain weight,0.0158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20496,goodyear fuel max tires,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20500,bank holding companies,0.152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20503,zylotol,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20505,bravo network,0.6873,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20507,wilson,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20516,dreamweaver software,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20517,wilsons disease,0.3823,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20523,myron corporation,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
